"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002009","BP","GO:0002009","morphogenesis of an epithelium","463/13451","479/18493",4.58843666470426e-45,2.92008109341779e-41,1.09784384619714e-41,"7074/374/51176/57216/54806/388591/80004/6664/9420/9788/4208/6663/2926/64321/7414/4321/3579/2138/80184/6659/3911/89958/4070/55081/5241/9314/84870/55966/6768/3872/129880/367/51804/3491/349633/8456/11019/8829/3516/2885/28514/23129/51339/9585/9948/79633/51098/115908/7048/2239/3082/388/3207/8914/655/4524/1289/5058/2045/2535/219736/317/147183/2099/409/4920/25928/6772/5728/7020/7249/4300/64399/54101/7403/7474/5154/220/26146/7408/80326/10082/1857/1436/1435/8323/157506/4088/23122/55764/441478/2263/10672/7053/5268/1282/3371/859/3280/182/27086/27152/780/9863/55083/6591/1512/9839/1601/84678/3400/846/92344/2260/7124/998/83605/7052/80144/4649/7189/255743/6201/6926/57057/10640/650/54910/6299/4983/7547/2909/5420/2297/977/4089/2295/8557/341640/5979/57154/3091/9231/5499/3202/6239/634/23002/1460/7040/94134/84133/2022/538/5469/2253/3627/9355/51548/1522/6662/3212/1499/23616/1950/8945/7477/7476/8463/5916/144165/3651/4488/2119/2294/6491/4041/5898/23332/10481/389/90410/8324/64750/8915/4522/7798/1969/6692/22943/7475/23671/4824/126695/4851/2658/170690/8985/80199/3845/6939/284217/85407/161/8928/7482/1605/55212/388389/10395/6789/2475/2246/5566/2626/11235/339829/55727/200894/10736/9353/7042/7291/1948/30812/5048/2737/23213/59277/63943/6722/23242/7976/8195/81792/51684/1909/131405/3678/3488/55327/3611/8322/4036/596/7422/5663/57619/6928/2252/4919/9021/55366/10116/10765/9645/11331/6259/6868/2487/54361/3214/8289/8543/9024/6909/2043/5371/9464/26585/8321/652/1213/90102/387/57669/25/2247/1861/9723/5629/57545/133/6654/26160/3217/2736/585/5567/1951/22881/3237/5087/54567/4478/2625/7289/8092/54922/64412/2348/340419/6608/65979/7855/960/4233/1739/23654/7041/2648/1839/56998/123872/3868/6788/1482/5361/1956/10653/183/163/25865/4776/64398/342184/130497/7248/5228/6356/7471/94/3239/6943/3976/7490/163183/160/5100/7421/10371/9421/50855/5879/3714/79977/6423/7484/4040/5613/10818/57822/2316/9496/23245/8642/6714/65009/11146/57167/5311/9368/79192/84446/4323/27031/8521/10660/5754/10155/51384/94234/6469/6910/26005/79191/7472/112802/10890/10522/4855/1175/1856/6385/1954/6256/4838/6422/90/25932/9500/9423/10253/186/1173/1952/3549/23513/8854/7481/3975/388585/25902/10413/166336/10959/5727/326/64783/6615/7849/4609/58495/89780/1072/84962/57662/5216/23767/6262/54903/7424/55036/653/57534/10630/3586/1741/7080/83852/153572/121643/80000/10512/6497/81839/84283/1427/8549/128272/5310/9968/9620/55897/3169/79600/90627/6495/5914/4435/10427/342574/9241/54345/10252/1855/2668/29072/2255/2719/1906/2637/65266",463
"GO:0048732","BP","GO:0048732","gland development","418/13451","434/18493",2.25261562143558e-39,7.15542056582742e-36,2.69017680805282e-36,"581/1628/64919/9076/5270/55959/4255/374/51176/79733/5471/1027/80004/2113/9420/3482/6663/5764/9133/3084/1896/6195/3911/5241/440/6997/301/7067/367/81606/51804/8456/8829/10370/3516/3398/23129/3162/5307/10018/6881/4830/7048/3082/7299/3720/3235/8835/655/657/3157/6790/7494/2099/3717/25928/7298/5728/9480/1990/7473/790/5423/128239/3321/5080/7474/5154/5156/220/2691/5604/79971/1459/80326/57539/5595/6143/5105/1436/1435/6647/4088/6426/9104/3642/2263/2288/5290/84159/7448/3172/5268/64841/8997/8837/171023/1028/1385/3371/859/3280/1543/57142/57817/6776/780/6591/8660/3400/55294/2260/7124/998/7052/6658/3200/22890/54658/6926/650/5253/6299/3481/7547/3205/2909/7351/51043/79152/5915/5591/4089/38/5106/3091/4087/8452/1373/3202/6239/634/7372/1460/7040/29842/595/6657/538/5469/2253/10272/5594/6662/340481/7046/1499/1950/1448/8945/51599/9113/7477/3664/7498/5896/1447/5916/100/3175/5660/3651/4487/4488/2119/2294/4041/207/335/5618/10481/1396/57864/8772/1969/3142/673/7049/8792/7068/4824/80169/87178/3155/4851/4192/57045/2030/3643/144455/3845/284217/3670/3184/8862/5009/1605/255738/65985/8022/2146/339829/55727/4580/7042/570/2001/2737/9247/23213/59277/116/6722/6777/23242/3249/4124/7128/79084/7038/205/3488/9935/383/596/7919/7422/5021/5663/1050/6928/2252/1054/5111/4763/10116/10765/11231/11331/5860/2487/3219/54361/2627/1588/9095/3099/540/8543/6670/6599/6909/5371/9464/652/25/2066/5906/5629/394/5626/6496/2736/4485/2516/706/1399/2806/90780/5087/3673/190/4478/25807/5454/8820/2625/55870/3725/6778/6715/6608/4233/5176/8379/10419/123872/5104/208/1482/5361/6794/6091/1956/1361/3274/382/55679/26019/5449/23440/6356/7471/2876/3239/51350/2194/6943/7490/5308/7421/10371/3213/6217/10718/5324/4040/9821/10818/4939/6531/353/445/8600/887/6714/5311/9368/27031/1723/2735/6469/7472/159296/10522/5894/4781/5075/4855/6927/7392/6256/4838/6422/219409/1036/7043/55840/50/9423/2296/462/3549/23513/8854/7481/5066/2692/1051/857/5727/326/1854/4357/7849/89780/55036/79810/137964/2049/1999/823/10913/84876/3232/3586/7080/429/27023/5774/675/1181/10512/1392/6899/5310/55897/3169/1813/256297/3077/7166/6495/5914/2356/9241/11035/768239/5970/2624/5315/6430/27122/2255/64220/5617/999/10269",418
"GO:0061564","BP","GO:0061564","axon development","469/13451","493/18493",3.37307694806447e-39,7.15542056582742e-36,2.69017680805282e-36,"7074/64919/6387/7345/3676/5293/57216/7070/2258/10507/5588/89884/393/64218/5362/51199/10251/51466/57679/26999/9046/7414/7504/3800/9638/6712/4884/4218/30011/55740/8239/56920/91653/9314/10013/4804/4897/26053/4099/1123/2675/27242/7852/8829/1630/2335/2885/23129/4974/23114/9499/51761/3897/11127/55079/10500/655/4916/5354/8408/3320/6585/10458/5058/2045/6464/2636/5818/3717/4147/57556/5728/6277/2534/4684/51062/8828/2048/7473/22876/4915/5532/5080/10716/347733/7474/5015/5459/4741/7408/5604/5595/150465/1436/11344/83700/57549/133418/57689/10048/23334/2263/80128/22954/5290/137970/1385/5800/3371/23011/104/6708/57142/780/219699/9839/7430/1267/8660/128434/5335/4009/4692/2887/5803/389549/9706/4130/1002/9201/10154/7143/9369/9315/54910/8882/214/4983/56288/2909/2674/2297/22854/5457/4089/351/4756/5979/51330/2017/23077/4929/6710/5747/2596/8428/8929/11041/10090/8578/6711/658/2253/9355/4744/5594/29882/9252/4628/57463/4504/9037/3798/10752/288/886/57453/65059/7476/4914/10509/3996/25987/1600/1942/335/8609/1020/57715/5295/56896/5063/23022/107/2803/673/5364/8650/9344/11202/54413/27255/8851/9378/4851/51393/54434/729920/2046/11023/3670/26037/5291/1959/118813/1605/29956/7436/22865/8022/85440/3925/323/4548/6049/8013/9353/1948/5048/9211/347/6709/57698/2737/1382/1719/59277/3688/2817/6722/23242/7976/134430/1000/22902/836/23303/2047/9260/56956/10479/23053/3611/596/23191/152330/7422/5663/3475/54961/3908/682/6405/7155/5802/84189/1949/8766/8633/84665/6259/2664/5786/4135/4137/10939/474/9890/6586/114798/2011/1826/6324/23499/343472/1268/7101/146760/4825/9024/4747/2043/80031/627/3326/1944/387/25/2932/9723/5781/25806/6900/200933/5306/6654/5909/2281/2042/2736/6285/706/84631/1951/10439/23162/6696/4131/23271/9846/23768/322/8399/55118/64843/5454/8301/2625/1785/55558/1749/349667/3792/3725/10501/2348/64221/6608/6683/10417/23654/5649/85464/4902/1495/5797/5361/6794/6091/139065/374946/6474/79006/51265/26050/5864/2886/4168/84628/10494/494470/10371/659/170302/57611/9860/11313/84570/9798/10818/22906/27020/1943/6714/7869/1009/7224/65078/2131/5578/55715/84446/91624/10505/6469/1808/2064/81565/2549/10678/9048/4685/10890/9253/4781/23566/1496/1954/66008/4038/575/1947/2902/1400/1796/5623/85358/5792/9423/3913/10100/6498/223117/3975/57688/91584/8482/10381/3984/3199/6812/5727/10211/55201/54437/1946/89780/396/23767/5365/2044/2049/55816/65249/23032/63923/4917/7080/84612/1141/5458/27023/90249/10512/9637/5598/6092/57731/1945/348/2676/1813/8153/79600/885/84894/9241/57643/1855/56963/2668/4803/23105/4133/64855/53358/54538/2637/64096",469
"GO:0007409","BP","GO:0007409","axonogenesis","430/13451","449/18493",2.37735907541301e-38,3.78237828898211e-35,1.42203609958257e-35,"7074/64919/6387/7345/3676/5293/57216/7070/2258/10507/5588/89884/393/64218/5362/51199/51466/57679/26999/9046/7414/7504/3800/9638/6712/4884/4218/30011/55740/8239/56920/91653/10013/4804/4897/26053/4099/1123/2675/7852/8829/1630/2335/2885/23129/4974/23114/9499/51761/3897/11127/55079/10500/655/4916/8408/3320/6585/10458/5058/2045/6464/2636/5818/4147/57556/5728/6277/2534/4684/51062/8828/2048/7473/4915/5532/5080/10716/347733/7474/5015/5459/7408/5604/5595/150465/1436/11344/57549/133418/57689/10048/23334/2263/80128/5290/137970/1385/5800/23011/104/6708/57142/219699/9839/7430/1267/8660/128434/5335/4009/4692/2887/5803/389549/9706/4130/1002/9201/10154/7143/9369/54910/214/4983/56288/2909/2674/2297/22854/5457/4089/351/4756/5979/51330/2017/23077/4929/6710/5747/2596/8929/11041/10090/6711/658/2253/9355/4744/5594/29882/9252/4628/57463/4504/9037/3798/10752/288/886/57453/65059/7476/4914/10509/3996/25987/1600/1942/8609/1020/57715/5295/56896/5063/23022/107/2803/673/5364/8650/9344/54413/27255/8851/9378/4851/51393/54434/729920/2046/11023/3670/26037/5291/1959/118813/1605/7436/22865/8022/85440/3925/323/6049/8013/9353/1948/5048/9211/6709/57698/2737/1382/59277/3688/2817/6722/23242/7976/134430/1000/22902/23303/2047/9260/56956/10479/23053/3611/596/23191/152330/7422/5663/3475/54961/3908/682/6405/7155/5802/84189/1949/8766/8633/84665/6259/2664/5786/4135/4137/10939/474/9890/6586/114798/2011/1826/6324/23499/343472/7101/4825/9024/4747/2043/80031/627/3326/1944/387/25/2932/9723/5781/25806/6900/200933/5306/6654/5909/2736/6285/84631/1951/10439/6696/4131/9846/23768/322/8399/64843/5454/8301/2625/1785/55558/1749/3792/10501/64221/6608/6683/10417/23654/5649/85464/4902/5797/5361/6794/6091/139065/374946/6474/79006/51265/26050/5864/2886/4168/84628/10494/494470/10371/659/170302/57611/11313/84570/9798/10818/22906/27020/1943/6714/7869/1009/7224/65078/2131/5578/55715/84446/91624/10505/6469/1808/2064/81565/2549/10678/9048/10890/9253/4781/23566/1496/1954/66008/4038/575/1947/2902/1400/1796/5623/85358/9423/3913/6498/223117/3975/57688/91584/8482/10381/3984/3199/6812/5727/10211/55201/54437/1946/89780/396/23767/5365/2044/2049/55816/65249/23032/63923/4917/7080/84612/1141/5458/27023/90249/10512/9637/5598/6092/57731/1945/348/2676/1813/8153/79600/885/84894/9241/57643/1855/2668/4803/23105/4133/64855/53358/54538/2637/64096",430
"GO:0022604","BP","GO:0022604","regulation of cell morphogenesis","451/13451","474/18493",8.758873281326e-38,1.11482939124717e-34,4.19135136177979e-35,"7074/53335/11151/6387/399/4653/7070/2258/57580/10507/393/5764/64218/3815/5362/51199/7504/6383/113251/30011/3397/56920/4070/221472/7940/4804/4897/301/4099/114793/1123/91663/8829/2268/1630/2335/23129/3706/9948/4974/1793/29984/388/4076/157922/102/3897/55079/10500/4352/127833/4916/2242/2039/10458/5058/2045/79594/57556/5728/3074/2534/2048/7473/4915/7168/55742/161176/51177/10716/347733/3037/120892/7474/23043/23025/10097/54509/8874/5604/22836/2185/57520/150465/84079/1857/1436/11344/29904/6347/57689/4627/116985/4651/10672/80128/57699/5028/5064/3689/8997/5800/23011/10117/26259/6708/57142/9839/7430/80725/23370/10611/91010/998/79791/56965/254065/54014/118987/57464/9706/1002/126374/23603/10154/7143/148170/54910/115703/23327/2909/29780/2192/5979/1398/170506/51330/57154/2017/23077/6354/26039/6239/5747/50618/10090/55843/57194/29882/4628/54873/57463/4504/4739/1742/811/55920/9037/816/7476/10509/2035/1600/1942/54764/54751/335/389/1020/57715/10562/5063/55660/2803/673/5364/9344/51760/577/9205/54413/23580/10519/57471/8851/22871/11141/2620/152503/1523/51393/54434/348110/55023/4734/26037/1613/118813/1605/10395/832/4976/103910/23363/6049/10810/9699/9353/5168/55607/5048/57698/26052/1382/7429/89846/10059/6722/3249/9373/134430/80823/1690/1000/2768/22902/25805/23303/9270/6348/375611/2245/10979/23053/3611/55171/8322/23316/3383/64411/23191/10484/310/7422/5663/57619/3475/54961/6405/10435/5962/23189/5789/3791/5802/51057/1949/23072/8766/6860/58480/6259/23098/2664/22999/4135/4137/2266/3987/114798/23433/2011/1826/23499/343472/7101/4825/9024/4747/2043/80031/627/387/25/2932/9723/6900/10631/55785/10602/9203/6285/1399/10439/5921/6696/4131/6281/79830/54870/55435/85442/81/4478/5454/1785/390/55558/3055/3792/5911/93663/10501/10483/50674/4289/960/1739/2332/8994/23654/5649/121512/85464/5361/6794/6091/11078/374946/5530/6474/79006/51265/85369/4776/2038/80005/4168/708/6356/10494/10109/10371/659/6369/1902/752/57611/5879/65981/9798/192670/22906/2316/283149/6714/23237/7869/23426/7224/65078/79784/9368/56882/84446/10505/1808/171177/81565/26012/11149/23566/57175/7804/1856/1136/1954/66008/4038/2902/1729/9912/9202/85358/3679/25791/9423/6498/9762/6845/9693/223117/57688/91584/8482/6857/3984/59284/391/56990/2059/27289/54437/23136/1946/64689/89780/396/1072/226/2243/114299/2147/10428/5365/7750/2049/65249/57091/10630/5881/11135/1141/5458/10512/10084/6678/6092/9362/3196/6284/7533/348/8153/57381/2244/84894/84258/201294/57643/7225/1855/4803/128486/151835/9820/152273/23105/4133/8437/10269",451
"GO:0023061","BP","GO:0023061","signal release","428/13451","453/18493",1.3284383521512e-33,1.25620005235404e-30,4.72285341724953e-31,"7074/5579/6352/6623/51738/292/695/8564/6664/4208/23435/27163/9572/9379/6659/9066/640/114899/3358/63908/338557/301/2641/3745/1803/8825/5027/29085/8111/4828/5443/3709/1137/25953/1080/3382/127833/5217/8448/406/6622/51768/25924/57818/11315/5538/3717/7110/8676/148/5582/135/5532/64130/9581/120892/5799/23025/51083/8499/6843/2691/8874/9854/5213/79971/4856/57617/2645/84522/415116/84300/4644/2922/136/55512/6854/116841/375704/4826/5028/27230/56943/3172/8997/774/51248/286676/1385/3170/6934/5127/8660/112755/846/5908/2260/7124/10411/9575/23557/3569/777/252983/6926/25930/815/10755/399979/2297/7351/3710/9324/9627/4089/116443/6717/2693/4988/3091/5581/4087/114088/55737/8867/3624/23621/3351/6853/773/1138/5861/23178/1374/2740/27445/8618/7779/9254/2587/90019/6809/3625/9448/140679/886/5023/4602/7036/7476/151/3458/3651/4041/7447/23396/1394/1020/55636/338442/107/8447/673/8655/51760/9727/9378/22871/4824/10814/93664/134/6616/23208/9230/3670/8862/808/65985/8573/55107/150/2822/51762/9515/10497/9699/8864/55607/8425/5413/1143/27345/65220/6566/10059/116/26258/488/8723/3799/5208/140730/51092/80736/94121/9342/130399/55327/5991/114131/8322/169026/783/5663/23568/1488/60482/6928/80024/22841/4763/10765/572/23413/5211/6860/2746/4878/2850/18/1142/22999/111/2778/3749/1588/2266/3033/148281/1268/4825/8398/9024/152/55288/9255/4843/320/8673/3790/4760/93/5906/7349/6536/2932/64111/3667/11255/5781/91683/7432/143425/2852/133/5978/6513/2281/3741/54097/6696/1908/8224/9381/5715/1393/8773/9607/2752/79772/408/10815/2625/3767/3589/28964/6844/5868/23410/5008/2332/56729/7200/11069/80331/2029/1407/1956/415117/5530/183/84062/1812/5864/9751/3976/57555/8775/6814/7021/4986/3623/594855/84961/8600/26056/6720/775/55784/114897/5578/8973/84446/2914/90550/6833/387597/1103/6861/5019/3747/91942/5950/668/818/9783/6343/25874/5798/6571/5894/59341/339302/6927/1136/10675/55585/402/6422/2901/5467/8074/11132/55638/291/9971/776/6845/6447/186/23513/3156/57586/91608/10874/952/6857/2692/23409/6582/6812/90007/321/9162/80223/3708/7849/308/7425/654/133308/1946/9370/41/2243/6755/26251/2044/26059/6865/353500/8431/51167/6863/112476/2054/2695/341359/1113/1141/440279/2696/3350/3553/1392/8620/3060/22930/3952/6804/54795/1813/9900/3077/6855/2867/2244/84258/8541/1855/2661/5030/64855/6572/1906/6514/8938",428
"GO:0060562","BP","GO:0060562","epithelial tube morphogenesis","306/13451","313/18493",1.3817411009551e-33,1.25620005235404e-30,4.72285341724953e-31,"374/51176/57216/54806/388591/80004/6664/9788/4208/64321/3579/2138/80184/6659/3911/4070/55081/5241/6768/129880/367/51804/11019/8829/3516/28514/23129/9585/79633/51098/115908/7048/388/3207/8914/655/4524/5058/2045/2535/219736/317/2099/25928/7249/64399/7403/7474/7408/1857/1436/1435/8323/157506/4088/55764/441478/2263/10672/1282/3371/859/3280/27086/780/55083/1512/9839/84678/846/7124/83605/7189/255743/6201/6926/57057/650/54910/6299/7547/2909/5420/2297/4089/8557/5979/3091/9231/5499/3202/1460/7040/2022/5469/2253/3627/9355/51548/1522/6662/1499/1950/8945/8463/5916/144165/4488/2119/2294/6491/4041/5898/8915/4522/7798/1969/6692/7475/4824/4851/2658/170690/80199/3845/284217/8928/7482/1605/55212/388389/10395/6789/2246/5566/2626/339829/200894/10736/9353/7042/7291/1948/30812/2737/63943/6722/23242/7976/8195/81792/51684/1909/131405/3611/4036/596/7422/5663/57619/6928/55366/10765/9645/11331/54361/8289/8543/6909/2043/5371/9464/26585/8321/652/387/25/2247/9723/5629/57545/133/26160/3217/2736/585/5567/3237/5087/54567/2625/7289/8092/54922/64412/2348/340419/6608/65979/4233/1739/23654/2648/56998/123872/6788/1482/10653/183/25865/4776/342184/130497/7248/5228/6356/7471/94/6943/7490/7421/9421/79977/6423/7484/4040/5613/57822/8642/6714/65009/11146/57167/5311/79192/4323/27031/10660/5754/6469/26005/79191/7472/10522/4855/1856/6385/1954/4838/6422/90/25932/9500/9423/10253/186/3549/23513/7481/3975/388585/25902/10413/10959/5727/64783/7849/4609/58495/89780/1072/5216/6262/54903/55036/653/57534/7080/83852/153572/121643/80000/6497/8549/5310/9968/9620/55897/3169/79600/90627/6495/5914/4435/10427/9241/54345/10252/1855/2668/29072/2255/2719/1906/2637/65266",306
"GO:0048568","BP","GO:0048568","embryonic organ development","401/13451","422/18493",2.77336669287609e-33,2.20621320418293e-30,8.29455591172021e-31,"51176/79733/8320/3856/57216/54806/388591/6664/4208/3815/2201/64321/5125/25836/53615/5396/196528/2138/80184/2067/57728/55584/55081/3340/203447/84870/51294/6768/4325/79893/129880/51804/3491/2623/10370/3516/59343/2885/28514/3398/51098/115908/3880/7048/3207/51761/3235/655/657/57623/10733/2535/10049/219736/7026/4920/860/9775/5155/405/2048/7020/4237/57448/5080/7403/497189/7474/5154/28996/5156/220/5459/10019/26146/5604/5595/3216/25861/8323/157506/3638/6647/4088/91461/259236/55764/2263/1290/525/1028/4647/430/3280/26259/84678/2260/7124/100506013/121227/5333/137814/3200/3221/6926/639/57057/3215/6299/3481/7547/6886/5915/2295/8557/7173/3091/4087/3202/6932/1301/2254/7040/2022/3236/5469/2253/5594/6662/3212/7046/1499/7942/10194/7477/57453/7483/8463/5916/23314/100/4487/2294/4762/6491/1942/207/55636/613/4522/1969/6434/3142/6692/10763/4851/5887/80199/3726/144455/56034/8928/55212/57599/388389/6789/10848/2626/339829/2200/2186/3562/200894/8013/10736/7042/7291/5919/2737/3233/6722/23242/3249/7976/841/4617/8195/51684/80736/9935/50814/6913/26018/23462/8648/7422/5663/10804/1050/6928/116039/9021/3791/51057/84189/9645/2068/7545/5930/2487/257/2778/3399/474/7732/8575/3214/3167/8289/161882/6670/79728/6909/22846/9464/652/27173/4760/140469/677/55773/5629/25806/57545/133/26160/6496/29/3217/2736/585/2202/79805/5087/9132/51141/6935/2625/7289/1749/8092/2348/5079/6608/65979/54583/7855/3201/1739/123872/6788/3225/53904/1482/4297/50515/60529/1956/11078/10653/6474/10083/6293/130497/7471/6943/3976/340784/3297/3204/29924/3213/9421/8516/145258/79977/7484/4040/7703/10818/57822/2709/65009/5311/9368/2702/4323/27031/204851/8521/10660/5754/4669/10155/51384/2735/6469/26005/5950/668/3218/4188/29985/7472/6343/5426/1046/55084/9573/9742/8563/1856/1954/2034/4838/90/7043/9423/133060/10253/2296/3549/23513/113026/8854/7481/3975/25902/23414/3198/1280/10413/1051/5456/2019/10959/3199/5727/9394/6615/7849/8932/58495/89780/6262/54903/55036/1746/653/10265/57534/55112/3232/3586/579/7401/83852/121643/23493/1437/6169/1045/6899/161497/5310/9968/9620/7274/55897/7054/6495/5914/4435/3211/10427/9241/54345/1750/1855/2299/25949/2624/2668/5013/2071/29072/2255/64220/2020/1906/2637",401
"GO:0007389","BP","GO:0007389","pattern specification process","411/13451","434/18493",5.13035034152243e-33,3.6277277303832e-30,1.36389313757667e-30,"84100/51176/7704/8320/8553/10409/57216/54806/388591/4208/5362/55502/63917/2926/64321/5125/80173/134701/2138/57728/55081/2622/6997/8726/129880/367/29880/6781/8829/10370/3516/59343/28514/221322/56603/51098/51626/3684/4618/7048/3207/3235/55079/655/657/6790/23648/7026/4920/25928/8828/7832/269/7473/5992/4300/64399/5081/5080/10716/7403/497189/7474/28996/5015/25911/79365/26146/79971/2114/3216/7478/84976/4088/444/55764/441478/2263/5986/3280/3170/27152/9839/324/84678/23500/92344/2260/3206/4091/84504/3222/3200/3221/389549/6493/6926/57057/3215/650/7547/3205/2297/5046/5591/3226/4089/8557/3234/91/3091/4087/3202/92/2022/3236/10297/658/2253/9355/84314/3212/7046/1499/54778/79176/10194/84667/7477/57453/7476/23770/5916/23314/4487/4488/2294/4762/6491/4041/80319/284086/22823/6434/3238/23639/22943/7475/22955/50937/4824/4851/80199/6939/3670/85407/1959/145873/8928/7482/55212/388389/4090/2246/8022/5566/2626/339829/123016/58524/2186/200894/9096/10736/2737/201164/3233/6722/23242/80055/4617/8195/51684/55130/2302/4086/130399/9935/5991/3087/55329/23509/4036/4281/140628/5089/5663/57619/54475/648/6045/6928/6405/2018/9371/79809/9645/7545/3219/3223/257/4010/51668/3214/340260/4223/4825/79728/6909/2016/9464/26585/652/4760/93/64853/57669/2066/25806/57545/5626/26160/6496/10637/3217/2736/585/5567/64388/1399/3237/9289/5087/162/54567/115948/6911/8481/6935/10159/55997/7289/8092/2348/6608/7855/3201/54880/2648/5649/56998/1649/123872/50805/3225/1482/4681/60529/25914/6091/8646/3955/8861/130497/7471/94/3239/7490/5308/5090/8701/5100/3204/10371/659/3213/9421/10220/10718/145258/6423/4040/7703/10818/57822/6015/63950/8642/23237/65009/5311/92749/79192/27031/204851/10660/390992/7528/1044/2735/6469/6910/26005/54626/3218/79191/4188/7472/3229/56033/5075/1046/9573/9742/1856/1954/4038/1947/10655/4838/6422/90/6656/23432/22856/5681/220136/2296/1952/3549/8854/3975/2033/388585/4222/4242/6604/3224/8313/2019/10959/3199/5727/199699/6615/7479/7849/58495/120237/89780/30062/1745/54903/343930/55036/9350/1746/653/7516/57534/1767/3232/579/80114/7080/83852/153572/429/27023/121643/23493/10512/163589/1045/6497/6899/6092/2128/221833/56983/9968/9620/55897/3169/79600/6495/4435/3211/9241/54345/10252/170825/65057/2668/5013/10683/2255/2719/4821/1906/2637",411
"GO:0051656","BP","GO:0051656","establishment of organelle localization","459/13451","491/18493",1.53923100747233e-32,9.79566613155391e-30,3.68281271577327e-30,"5579/84100/51203/7345/3676/5880/374/113130/5293/282991/695/81620/11004/3835/55143/3815/6850/79789/5294/4139/3800/1062/9066/2890/84722/1063/83540/89958/56907/63908/8832/9493/129880/10125/10113/55153/10403/4869/2268/3965/8825/5027/27243/3162/1058/8517/11314/56776/1137/22820/11127/127833/5217/8448/23212/2242/51164/6622/8697/6585/27040/10947/152185/3837/6396/10096/10615/8678/4033/1075/8676/25777/148/5582/135/92421/161176/5080/10053/58485/9581/55755/120892/357/23025/10097/8499/6843/583/57617/150465/5871/23122/4644/10239/4627/136/80128/116841/23224/5028/375/26286/23636/9928/4647/254263/2153/5590/7430/3998/5901/128637/112755/51693/5908/23353/10652/998/5036/23299/122553/56681/79090/7462/84364/64284/5537/23557/55062/149111/1176/10282/5873/5108/815/10755/9183/7320/137886/116443/6209/5874/553115/3091/8452/114088/8867/23095/5747/10300/23621/3351/6853/80179/891/1138/5861/10128/27445/4744/9787/1522/8618/10175/4628/90019/1499/3192/79443/6809/54908/3798/81929/5023/867/7476/9554/4134/3996/2294/284071/5170/4342/84984/1778/23396/23332/1020/283847/107/8447/10342/673/5119/51760/51399/63971/22871/10814/93664/6616/6517/23208/9230/808/55212/8573/7534/126003/4976/9919/55166/54732/85440/199953/4641/9696/11235/23626/57132/9515/26985/2241/10497/9699/55330/1453/8013/22920/55781/51128/4905/5048/5413/26052/10059/3993/26258/488/8723/3799/7013/84709/140730/8195/9342/26958/9525/5870/10484/8409/284021/6059/783/5663/25978/2207/1488/547/9371/3064/23413/23243/8766/6860/29109/4878/8546/1142/22999/4137/51510/3692/148281/1268/55291/55288/79643/9181/4747/7514/10464/320/8673/29899/5906/2932/55773/1861/9570/91683/8120/143425/23256/10016/585/128866/51068/1780/4131/4935/9846/9381/55435/8773/50487/22870/81/10815/10948/636/1785/28964/6844/2348/10802/5868/10483/6683/1739/1639/2332/79083/5819/8729/51112/8379/6813/80331/55717/4926/415117/55686/388552/57584/84062/10749/1812/5864/9751/1201/7039/10494/8775/150365/4927/594855/3797/84961/22906/89866/2801/83930/10972/283489/9368/9632/84946/8973/54874/59349/2669/6861/81930/2157/84376/83696/65018/81565/9783/89941/339302/54984/10675/66008/9871/1759/8615/2901/55638/9423/776/8943/6845/10253/11196/6399/81610/23513/27095/145645/57586/6857/10959/6812/321/9162/55201/64689/90411/9700/55968/4292/26059/157769/27183/1001/153241/112476/2054/341359/3833/84643/1113/1141/440279/81876/54820/79648/84501/8976/225689/79003/1294/22930/118426/6284/29058/56850/10540/6804/1813/9527/9900/91782/3598/6855/22872/5195/537/84258/10427/8541/201294/10252/1855/91272/283129/5030/56647/2624/9001/2255/4133/3596/3916/63915/8936",459
